,index,0
947,people,17
1068,saved,17
710,highest-taxed,15
1327,world.,14
877,nation,14
413,billions,12
727,hundreds,10
857,million,10
888,never,9
859,millions,9
554,dollars,9
7,$725,8
709,highest,7
213,Obama,7
820,lot,6
781,"know,",6
858,million.,6
757,involved,6
1263,vet,6
303,When,5
666,gotten,5
1163,tax,5
223,President,5
1125,state,5
678,half,5
902,number,5
949,people.,5
628,fighter,5
49,@nytimes,5
512,currency,5
1329,would,5
1229,totally,5
92,Coast,5
494,country,5
15,...,5
1160,talking,5
614,fake,4
844,me.,4
1219,time.,4
1218,time,4
848,media,4
952,percent.,4
592,ever,4
155,If,4
1231,trade,4
986,price,4
150,I've,4
322,actually,4
631,first,4
206,Nobody,4
845,mean,4
575,"election,",4
382,bad,4
114,F-35,4
930,out.,4
1178,that's,4
8,&,4
748,insurance,4
786,last,4
273,This,4
1180,that.,4
396,begun,4
1169,tell,4
809,lives.,4
1055,right,4
282,Trump,4
28,"16,000",4
697,heard,4
172,Just,4
1103,small,4
826,made,4
830,make,4
167,I’ve,4
299,"Well,",4
664,good,4
246,So,4
41,5,4
118,FAKE,3
1234,tremendous,3
216,On,3
1226,took,3
520,dealing,3
954,period,3
959,plane,3
267,There,3
961,"plane,",3
1028,record,3
1175,terrorism.,3
1179,"that,",3
427,bring,3
1166,taxes,3
438,came,3
195,NATO,3
1165,taxed,3
464,coal,3
379,back,3
989,probably,3
940,paid,3
154,ISIS,3
1157,taken,3
1156,take,3
146,How,3
1212,thousands,3
209,"Now,",3
499,coverage,3
137,Guard,3
214,Obamacare,3
533,developed,3
409,biggest,3
1240,turning,3
300,We’re,3
538,didn’t,3
1287,week,3
637,folks,3
1078,see,3
1081,seen,3
1291,went,3
641,formed.,3
1295,we’ve,3
317,"about,",3
1099,since,3
1268,vote.,3
683,happening,3
290,United,3
1325,world,3
811,long,3
731,illegal,3
6,$700,3
270,They're,3
262,"Texas,",3
766,jet,3
1133,stopped.,3
630,finally,3
878,"nation,",3
922,order,3
885,negotiation,3
599,everyone,3
1069,saving,3
881,nearly,3
915,"one,",3
336,"airplanes,",3
886,negotiation.,3
343,allowed,3
556,dollars.,3
574,election,3
344,almost,3
1037,register,2
1053,returned,2
1040,released,2
346,also,2
284,Two,2
1054,rid,2
298,We've,2
276,To,2
275,Times,2
274,Time,2
347,always,2
402,benefit.,2
1057,right?,2
354,angry,2
384,ban.,2
307,With,2
1044,report,2
1077,secretary,2
365,apologize,2
1072,says,2
331,ago,2
366,apologized,2
326,administration,2
368,approved,2
324,added,2
1050,respect,2
306,"WikiLeaks,",2
364,anywhere,2
1067,save,2
1049,reports,2
1032,reduce,2
378,away,2
315,able,2
335,airplanes,2
341,"all,",2
652,getting,2
408,big,2
618,far,2
657,go,2
656,giving,2
640,forced,2
856,military,2
629,fighting,2
627,fight,2
621,fast,2
615,fake.,2
411,billion,2
612,failing,2
610,fact,2
608,fabricated,2
605,executive,2
883,negotiating,2
595,everybody,2
594,every,2
658,goes,2
843,"me,",2
660,goes.,2
663,gone.,2
773,jobs,2
774,jobs.,2
740,including,2
792,leaving,2
725,"hours,",2
805,little,2
817,lose,2
694,health,2
690,haven’t,2
684,happens,2
831,making,2
833,manipulation,2
839,massive,2
840,massive.,2
667,government,2
593,ever.,2
584,endorsed,2
895,nobody,2
475,computer,2
472,company.,2
469,coming,2
467,collusion.,2
465,collusion,2
996,products,2
457,changed,2
454,cent,2
453,caused,2
450,case,2
439,campaign,2
435,called,2
430,businesses,2
429,build,2
421,"border,",2
416,bit,2
987,price.,2
985,previous,2
898,nothing,2
482,contracts,2
910,office,2
555,"dollars,",2
545,dishonest,2
530,deficits,2
529,deficit,2
523,debates.,2
950,per,2
951,percent,2
509,crowd,2
962,planes,2
501,covers,2
966,plants,2
498,cover,2
972,point,2
979,pre-existing,2
268,These,2
770,job,2
138,"Guard,",2
1214,thousands.,2
1137,strongest,2
166,I’m,2
91,Clapper,2
1135,story,2
1216,through.,2
240,Sen.,2
1321,won’t,2
1201,"thing,",2
1132,stopped,2
1131,still,2
1220,times.,2
55,AMERICA,2
101,Delta,2
1272,"votes,",2
74,Big,2
1297,what's,2
1331,wrong,2
30,2.6,2
233,Russia,2
1269,voted,2
144,Hillary,2
1309,win,2
1306,whole,2
1281,"way,",2
1326,"world,",2
190,Mexico,2
1254,uranium,2
1143,subscribers,2
47,90,2
165,It’s,2
1328,worse!,2
231,Right,2
1199,they’ve,2
22,109,2
149,I'm,2
183,MAKE,2
245,Since,2
1200,thing,2
107,Did,2
60,"Again,",2
61,All,2
116,F-35.,2
1195,they're,2
1192,there.,2
1242,two,2
208,Now,2
258,Tennessee,2
1119,speech.,2
1118,"speech,",2
1349,‘no,2
1262,"very,",2
261,Texas,2
160,Iraq.,2
1181,that?,2
105,Dems,2
178,Like,2
1227,top,2
182,Look,2
247,"So,",2
103,Democrats,2
129,GREAT,2
1116,southern,2
212,O.K.?,2
1211,thought,2
88,"China,",2
198,NEWS,2
251,"States,",2
1124,started,2
1232,travel,2
122,First,2
210,Number,2
1267,virtually,1
1265,vicious,1
1266,victory.,1
1115,sources,1
874,murder,1
866,money,1
1278,wasn’t,1
862,misrepresents,1
863,missile,1
864,missiles,1
865,misstated,1
1275,war,1
867,money.,1
1270,voter,1
1273,w/,1
868,months,1
871,mostly,1
872,moving,1
1271,votes,1
873,much,1
879,nations,1
891,next,1
880,nationwide.,1
905,"obsolete,",1
907,obstructionists.,1
1247,undeveloped.,1
911,official,1
912,officials.,1
917,open,1
918,open-door,1
919,opened,1
920,opposed,1
1246,understand,1
923,ordering,1
924,orders.,1
1244,ultimate,1
925,organized,1
926,original,1
1243,"two,",1
931,outage.,1
932,outside.,1
934,over!,1
935,"over,",1
906,obstructing.,1
1248,unfair,1
1264,veterans,1
904,numbers.,1
882,negotiated,1
1260,version,1
884,negotiating.,1
1259,vast,1
1258,various,1
1257,"vacuum,",1
1256,vacuum,1
887,negotiators,1
1255,use.,1
889,new,1
890,"news,",1
892,nice,1
893,night,1
1253,up.,1
896,nonbinding.,1
1252,"up,",1
899,nothing.,1
1249,unhinged,1
903,numbers,1
1279,watered,1
851,mentions,1
1282,way.,1
803,lines,1
1335,"years,",1
795,legislature,1
796,less,1
1334,years,1
1333,year,1
797,let,1
798,lie,1
799,lights,1
800,lights.,1
802,"like,",1
804,lining,1
1285,we've,1
1332,wrong.,1
806,live,1
807,lives,1
808,"lives,",1
1330,wounded,1
810,lobbying,1
812,long-term,1
814,"look,",1
815,looking,1
816,looks,1
794,left.,1
793,left,1
1336,years.,1
791,"leave,",1
1350,‘service’,1
771,"job,",1
772,job?,1
1348,‘Donald,1
1345,you’ve,1
776,killed,1
777,kind,1
778,knock,1
779,knocked,1
1343,you.,1
1342,"you,",1
782,knowledge,1
783,knows,1
784,lake,1
785,land.,1
1338,yet,1
787,late.,1
1337,yesterday.,1
788,latest,1
789,laws,1
790,least,1
818,losing,1
819,lost!,1
1324,work,1
1310,win.,1
841,maybe,1
1305,who's,1
1301,whether,1
1298,"what,",1
1294,we’re,1
846,meaning,1
847,means.,1
849,"media,",1
850,mention.,1
937,owe.,1
852,mentions.,1
853,middle,1
854,might,1
855,migrants,1
1293,"were,",1
1290,"well,",1
1289,"weeks,",1
1288,weeks,1
1286,wealth.,1
860,mine,1
861,miners,1
1307,wife,1
1311,winds,1
1323,"words,",1
1312,winning,1
821,lots,1
822,love,1
823,loved,1
824,low,1
1322,word,1
825,lowest.,1
1320,"with,",1
1319,with!,1
827,made-up,1
828,magazine,1
829,magazine.,1
1317,witch,1
1316,wish,1
1315,"wiretapped,",1
832,manipulated,1
1314,wiretapped,1
834,"manipulation,",1
835,"manipulator,",1
837,"many,",1
838,marginal,1
1313,wins,1
936,overseas,1
956,phones,1
939,"packed,",1
1141,"stuff,",1
769,jets.,1
1052,return,1
1155,system,1
1154,swamp,1
1153,surveilled.,1
1152,surged,1
1151,supposed,1
1056,"right,",1
1150,supporters,1
1058,"riot,",1
1059,road,1
1060,rollout,1
1149,suckers,1
1061,running,1
1062,"running,",1
1063,sacred,1
1147,successful.,1
1146,success.,1
1145,substantially,1
1144,"subscribers,",1
1066,satisfied,1
1158,talk,1
1048,reporting,1
1047,reporters.,1
1038,regulators,1
1030,recording,1
1031,red,1
1171,tens,1
1170,telling,1
1033,reduced,1
1034,reducing,1
1035,reform,1
1036,refuses,1
1168,taxpayers,1
1039,reiterated,1
1159,talked,1
1167,taxpayer,1
1041,remember,1
1042,"remember,",1
1043,"remembers,",1
1164,tax.,1
1162,tapped’,1
1045,reported.,1
1046,reporter,1
1161,tap,1
1142,submitted,1
1140,stuff,1
1172,tenure.,1
1139,strongly.,1
1095,sick),1
1096,side's,1
1097,signed,1
1098,simple,1
1100,sitting,1
1101,six,1
1102,"sky,",1
1123,standing,1
1104,smooth,1
1122,stance.,1
1106,sold,1
1121,stance,1
1107,soldier,1
1109,somebody,1
1110,someone,1
1111,something,1
1112,soon,1
1120,"spent,",1
1113,sound,1
1114,source,1
1117,special,1
1126,"state,",1
1127,"statement,",1
1128,states,1
1080,see.,1
